arxiv_id,title,authors,publish_date,page_count,first_author_affiliation,relevance_score,abstract_summary
2512.21404v1,LLM-Driven Feature-Level Adversarial Attacks on Android Malware Detectors,Tianwei Lan; Farid Naït-Abdesselam,2025-12-24,TBD,TBD,10.0,The rapid growth in both the scale and complexity of Android malware has driven the widespread adoption of machine learning (ML) techniques for scalable and accurate malware detection. Despite their e...
2512.23132v1,Multi-Agent Framework for Threat Mitigation and Resilience in AI-Based Systems,Armstrong Foundjem; Lionel Nganyewou Tidjon; Leuson Da Silva,2025-12-29,TBD,TBD,10.0,"Machine learning (ML) underpins foundation models in finance, healthcare, and critical infrastructure, making them targets for data poisoning, model extraction, prompt injection, automated jailbreakin..."
2512.22046v1,Backdoor Attacks on Prompt-Driven Video Segmentation Foundation Models,Zongmin Zhang; Zhen Sun; Yifan Liao,2025-12-26,TBD,TBD,8.0,"Prompt-driven Video Segmentation Foundation Models (VSFMs) such as SAM2 are increasingly deployed in applications like autonomous driving and digital pathology, raising concerns about backdoor threats..."
2512.21250v1,CoTDeceptor:Adversarial Code Obfuscation Against CoT-Enhanced LLM Code Agents,Haoyang Li; Mingjin Li; Jinxin Zuo,2025-12-24,TBD,TBD,8.0,"LLM-based code agents(e.g., ChatGPT Codex) are increasingly deployed as detector for code review and security auditing tasks. Although CoT-enhanced LLM vulnerability detectors are believed to provide ..."
2512.20821v1,Defending against adversarial attacks using mixture of experts,Mohammad Meymani; Roozbeh Razavi-Far,2025-12-23,TBD,TBD,8.0,"Machine learning is a powerful tool enabling full automation of a huge number of tasks without explicit programming. Despite recent progress of machine learning in different domains, these models have..."
2512.24792v1,Projection-based Adversarial Attack using Physics-in-the-Loop Optimization for Monocular Depth Estimation,Takeru Kusakabe; Yudai Hirose; Mashiho Mukaida,2025-12-31,TBD,TBD,7.0,Deep neural networks (DNNs) remain vulnerable to adversarial attacks that cause misclassification when specific perturbations are added to input images. This vulnerability also threatens the reliabili...
2512.24665v1,HeteroHBA: A Generative Structure-Manipulating Backdoor Attack on Heterogeneous Graphs,Honglin Gao; Lan Zhao; Junhao Ren,2025-12-31,TBD,TBD,7.0,"Heterogeneous graph neural networks (HGNNs) have achieved strong performance in many real-world applications, yet targeted backdoor poisoning on heterogeneous graphs remains less studied. We consider ..."
2512.22069v1,Scaling Adversarial Training via Data Selection,Youran Ye; Dejin Wang; Ajinkya Bhandare,2025-12-26,TBD,TBD,7.0,"Projected Gradient Descent (PGD) is a strong and widely used first-order adversarial attack, yet its computational cost scales poorly, as all training samples undergo identical iterative inner-loop op..."
2601.00065v1,The Trojan in the Vocabulary: Stealthy Sabotage of LLM Composition,Xiaoze Liu; Weichen Yu; Matt Fredrikson,2025-12-31,TBD,TBD,6.0,"The open-weight LLM ecosystem is increasingly defined by model composition techniques (such as weight merging, speculative decoding, and vocabulary expansion) that remix capabilities from diverse sour..."
2601.00900v1,Noise-Aware and Dynamically Adaptive Federated Defense Framework for SAR Image Target Recognition,Yuchao Hou; Zixuan Zhang; Jie Wang,2025-12-31,TBD,TBD,6.0,"As a critical application of computational intelligence in remote sensing, deep learning-based synthetic aperture radar (SAR) image target recognition facilitates intelligent perception but typically ..."
2512.24925v1,Towards Provably Secure Generative AI: Reliable Consensus Sampling,Yu Cui; Hang Fu; Sicheng Pan,2025-12-31,TBD,TBD,6.0,Existing research on generative AI security is primarily driven by mutually reinforcing attack and defense methodologies grounded in empirical experience. This dynamic frequently gives rise to previou...
2512.24499v1,Training-Free Color-Aware Adversarial Diffusion Sanitization for Diffusion Stegomalware Defense at Security Gateways,Vladimir Frants; Sos Agaian,2025-12-30,TBD,TBD,6.0,"The rapid expansion of generative AI has normalized large-scale synthetic media creation, enabling new forms of covert communication. Recent generative steganography methods, particularly those based ..."
